group,case_id,shear_ms,restart_h,path,frame_h,consider_level,size_of_large_box,rmw_grid,rmw_km,three_rmw_grid,three_rmw_km,box_half_width_grid,crop_y1,crop_y2,crop_x1,crop_x2,box_y1,box_y2,box_x1,box_x2,box_large_y1,box_large_y2,box_large_x1,box_large_x2,heating_max,heating_mean,heating_sum,heating_positive_sum,heating_n_above_threshold,heating_sum_above_threshold,heating_box_max,heating_box_mean,heating_box_sum,heating_box_positive_sum,heating_box_n_above_threshold,heating_box_sum_above_threshold,heating_box_large_max,heating_box_large_mean,heating_box_large_sum,heating_box_large_positive_sum,heating_box_large_n_above_threshold,heating_box_large_sum_above_threshold,rain_max,rain_mean,rain_sum,rain_positive_sum,rain_n_above_threshold,rain_sum_above_threshold,rain_box_max,rain_box_mean,rain_box_sum,rain_box_positive_sum,rain_box_n_above_threshold,rain_box_sum_above_threshold,rain_box_large_max,rain_box_large_mean,rain_box_large_sum,rain_box_large_positive_sum,rain_box_large_n_above_threshold,rain_box_large_sum_above_threshold,theta_max,theta_mean,theta_sum,theta_positive_sum,theta_n_above_threshold,theta_sum_above_threshold,theta_box_max,theta_box_mean,theta_box_sum,theta_box_positive_sum,theta_box_n_above_threshold,theta_box_sum_above_threshold,theta_box_large_max,theta_box_large_mean,theta_box_large_sum,theta_box_large_positive_sum,theta_box_large_n_above_threshold,theta_box_large_sum_above_threshold
strong,strong_8mshear_restart96h,8,96,wrf_ideal_8mshear_restart_at_96h_28sst_minsetup_largeTC_d2.nc,0,5,3,15.2643,45.793,45.793,137.379,15,300,500,300,500,85,115,85,115,55,145,55,145,0.0573986,0.000147116,5.88463,18.5456,986,17.4679,0.0462632,0.00385689,3.4712,4.24631,213,4.15665,0.0573986,0.000805601,6.52537,18.3904,975,17.3397,3.39851,0.047124,1884.96,1884.96,5035,1882.34,2.46288,0.614407,552.966,552.966,634,552.707,3.39851,0.231872,1878.16,1878.16,4851,1876.31,340.237,315.41,1.26164e+07,1.26164e+07,40000,1.26164e+07,340.237,329.299,296369,296369,900,296369,340.237,316.873,2.56667e+06,2.56667e+06,8100,2.56667e+06
strong,strong_8mshear_restart96h,8,96,wrf_ideal_8mshear_restart_at_96h_28sst_minsetup_largeTC_d2.nc,1,5,3,15.5563,46.669,46.669,140.007,16,300,500,300,500,84,116,84,116,52,148,52,148,0.06785,0.000188851,7.55404,19.4083,1007,18.531,0.06785,0.00674613,6.90804,7.76988,346,7.65894,0.06785,0.000878412,8.09544,19.4035,1007,18.531,2.92909,0.0487429,1949.72,1949.72,4606,1946.96,2.92909,0.757514,775.695,775.695,760,775.499,2.92909,0.211395,1948.21,1948.21,4541,1945.89,340.605,315.365,1.26146e+07,1.26146e+07,40000,1.26146e+07,340.605,327.569,335431,335431,1024,335431,340.605,316.786,2.9195e+06,2.9195e+06,9216,2.9195e+06
strong,strong_8mshear_restart96h,8,96,wrf_ideal_8mshear_restart_at_96h_28sst_minsetup_largeTC_d2.nc,2,5,3,15.5563,46.669,46.669,140.007,16,300,500,300,500,84,116,84,116,52,148,52,148,0.0593209,0.000178753,7.15012,18.2811,958,17.5371,0.0551804,0.00674992,6.91192,7.86332,368,7.79039,0.0593209,0.000812443,7.48748,18.1052,947,17.4031,2.21517,0.0446166,1784.66,1784.66,4208,1782.49,2.21517,0.715177,732.341,732.341,766,732.141,2.21517,0.192184,1771.17,1771.17,4080,1769.36,341.06,315.431,1.26172e+07,1.26172e+07,40000,1.26172e+07,341.06,328.09,335964,335964,1024,335964,341.06,316.87,2.92027e+06,2.92027e+06,9216,2.92027e+06
strong,strong_8mshear_restart96h,8,96,wrf_ideal_8mshear_restart_at_96h_28sst_minsetup_largeTC_d2.nc,3,5,3,13,39,39,117,13,300,500,300,500,87,113,87,113,61,139,61,139,0.0641844,0.000202481,8.09923,20.0877,1056,19.3626,0.0517619,0.00370931,2.5075,2.88217,140,2.85863,0.0641844,0.00132061,8.03459,18.9248,1002,18.2992,2.67761,0.0470995,1883.98,1883.98,4553,1881.59,2.67761,0.564403,381.536,381.536,427,381.369,2.67761,0.302504,1840.43,1840.43,4139,1839.15,341.313,315.519,1.26208e+07,1.26208e+07,40000,1.26208e+07,341.313,331.698,224228,224228,676,224228,341.313,317.701,1.93289e+06,1.93289e+06,6084,1.93289e+06
strong,strong_8mshear_restart96h,8,96,wrf_ideal_8mshear_restart_at_96h_28sst_minsetup_largeTC_d2.nc,4,5,3,14.8661,44.5982,44.5982,133.795,15,300,500,300,500,85,115,85,115,55,145,55,145,0.0789871,0.00016955,6.78201,20.2166,1184,19.2718,0.0709248,0.00331914,2.98723,4.08074,233,3.97824,0.0789871,0.000871171,7.05648,19.7704,1142,18.865,3.15804,0.0509252,2037.01,2037.01,5090,2034.51,2.95515,0.642163,577.947,577.947,666,577.784,3.15804,0.248842,2015.62,2015.62,4793,2014.02,343.677,315.642,1.26257e+07,1.26257e+07,40000,1.26257e+07,343.677,328.701,295831,295831,900,295831,343.677,317.024,2.5679e+06,2.5679e+06,8100,2.5679e+06
strong,strong_8mshear_restart96h,8,96,wrf_ideal_8mshear_restart_at_96h_28sst_minsetup_largeTC_d2.nc,5,5,3,10.0499,30.1496,30.1496,90.4489,10,300,500,300,500,90,110,90,110,70,130,70,130,0.0616247,0.000245834,9.83335,21.9009,1148,20.9586,0.0272898,-0.000144771,-0.0579085,0.0861895,4,0.0851464,0.0616247,0.00278463,10.0247,17.2596,895,16.8887,3.52005,0.0482611,1930.44,1930.44,5751,1927.56,2.54766,0.147068,58.8274,58.8274,175,58.7209,3.52005,0.460564,1658.03,1658.03,3210,1657.56,343.252,315.692,1.26277e+07,1.26277e+07,40000,1.26277e+07,343.252,336.487,134595,134595,400,134595,343.252,319.977,1.15192e+06,1.15192e+06,3600,1.15192e+06
strong,strong_8mshear_restart96h,8,96,wrf_ideal_8mshear_restart_at_96h_28sst_minsetup_largeTC_d2.nc,6,5,3,10.8167,32.45,32.45,97.3499,11,300,500,300,500,89,111,89,111,67,133,67,133,0.0605864,0.00027934,11.1736,23.9876,1315,22.8228,0.0506252,0.00234093,1.13301,1.38957,57,1.38095,0.0561815,0.00254579,11.0894,19.6329,1068,18.9331,3.14634,0.0509722,2038.89,2038.89,5580,2035.55,2.41681,0.443098,214.46,214.46,261,214.279,3.14634,0.408377,1778.89,1778.89,3622,1778.26,343.379,315.779,1.26312e+07,1.26312e+07,40000,1.26312e+07,343.379,334.297,161800,161800,484,161800,343.379,318.696,1.38824e+06,1.38824e+06,4356,1.38824e+06
strong,strong_8mshear_restart96h,8,96,wrf_ideal_8mshear_restart_at_96h_28sst_minsetup_largeTC_d2.nc,7,5,3,10.8167,32.45,32.45,97.3499,11,300,500,300,500,89,111,89,111,67,133,67,133,0.0541344,0.000224827,8.99307,22.3718,1218,21.3417,0.0503713,0.000706668,0.342027,0.568127,22,0.557236,0.0541344,0.00221624,9.65393,18.774,1014,18.0963,2.81123,0.0522864,2091.46,2091.46,6203,2087.69,2.02266,0.301885,146.112,146.112,241,145.924,2.81123,0.416138,1812.7,1812.7,3786,1812.19,344.066,315.731,1.26292e+07,1.26292e+07,40000,1.26292e+07,344.066,335.142,162209,162209,484,162209,344.066,318.483,1.38731e+06,1.38731e+06,4356,1.38731e+06
strong,strong_8mshear_restart96h,8,96,wrf_ideal_8mshear_restart_at_96h_28sst_minsetup_largeTC_d2.nc,8,5,3,12.0416,36.1248,36.1248,108.374,12,300,500,300,500,88,112,88,112,64,136,64,136,0.0573369,0.000210781,8.43125,21.2524,1239,20.2526,0.0390911,0.00205788,1.18534,1.471,80,1.4427,0.0573369,0.00166747,8.64415,18.575,1086,17.8348,3.34295,0.049466,1978.64,1978.64,5837,1975.05,2.56539,0.436034,251.156,251.156,334,250.978,3.34295,0.355881,1844.89,1844.89,4237,1844.17,343.106,315.759,1.26304e+07,1.26304e+07,40000,1.26304e+07,343.106,332.55,191549,191549,576,191549,343.106,318.218,1.64964e+06,1.64964e+06,5184,1.64964e+06
strong,strong_8mshear_restart96h,8,96,wrf_ideal_8mshear_restart_at_96h_28sst_minsetup_largeTC_d2.nc,9,5,3,15.1327,45.3982,45.3982,136.195,15,300,500,300,500,85,115,85,115,55,145,55,145,0.057349,0.00022453,8.98121,20.6482,1185,19.5304,0.0500313,0.00460586,4.14527,4.71245,239,4.59506,0.0500967,0.00109854,8.89814,19.6796,1152,18.6785,2.61515,0.0476675,1906.7,1906.7,6280,1902.74,1.80126,0.559149,503.234,503.234,641,503.004,2.61515,0.228313,1849.34,1849.34,5464,1847.5,342.045,315.795,1.26318e+07,1.26318e+07,40000,1.26318e+07,342.045,328.716,295844,295844,900,295844,342.045,317.401,2.57095e+06,2.57095e+06,8100,2.57095e+06
strong,strong_8mshear_restart96h,8,96,wrf_ideal_8mshear_restart_at_96h_28sst_minsetup_largeTC_d2.nc,10,5,3,12.53,37.5899,37.5899,112.77,13,300,500,300,500,87,113,87,113,61,139,61,139,0.0574891,0.000228471,9.13883,19.8522,1141,18.6713,0.0414996,0.00171582,1.1599,1.47542,102,1.42683,0.0574891,0.0015171,9.23004,18.6504,1090,17.7697,2.91134,0.0493372,1973.49,1973.49,5358,1969.97,2.24173,0.394807,266.889,266.889,394,266.683,2.91134,0.316666,1926.6,1926.6,4421,1925.33,342.21,315.976,1.26391e+07,1.26391e+07,40000,1.26391e+07,342.21,331.434,224050,224050,676,224050,342.21,318.358,1.93689e+06,1.93689e+06,6084,1.93689e+06
strong,strong_8mshear_restart96h,8,96,wrf_ideal_8mshear_restart_at_96h_28sst_minsetup_largeTC_d2.nc,11,5,3,12.3693,37.108,37.108,111.324,12,300,500,300,500,88,112,88,112,64,136,64,136,0.0485685,0.000256099,10.2439,21.0477,1260,19.9245,0.0377312,0.00188712,1.08698,1.28119,69,1.27514,0.0485685,0.00207111,10.7366,19.3499,1157,18.6055,3.63595,0.0496825,1987.3,1987.3,5375,1984.01,3.08534,0.343055,197.599,197.599,275,197.471,3.63595,0.363635,1885.08,1885.08,4105,1884.18,342.129,316.178,1.26471e+07,1.26471e+07,40000,1.26471e+07,342.129,333.279,191969,191969,576,191969,342.129,318.897,1.65316e+06,1.65316e+06,5184,1.65316e+06
strong,strong_8mshear_restart96h,8,96,wrf_ideal_8mshear_restart_at_96h_28sst_minsetup_largeTC_d2.nc,12,5,3,11.0454,33.1361,33.1361,99.4082,11,300,500,300,500,89,111,89,111,67,133,67,133,0.0586952,0.000278241,11.1297,22.9596,1315,21.6498,0.0467391,0.000382665,0.18521,0.308718,18,0.307763,0.0586952,0.0023378,10.1834,18.5606,1060,17.9655,3.94,0.0514883,2059.53,2059.53,5103,2056.53,3.03835,0.220796,106.865,106.865,216,106.647,3.07976,0.42083,1833.14,1833.14,3597,1832.23,341.771,316.446,1.26579e+07,1.26579e+07,40000,1.26579e+07,341.771,334.916,162099,162099,484,162099,341.771,319.215,1.3905e+06,1.3905e+06,4356,1.3905e+06
strong,strong_8mshear_restart96h,8,96,wrf_ideal_8mshear_restart_at_96h_28sst_minsetup_largeTC_d2.nc,13,5,3,13.4164,40.2492,40.2492,120.748,13,300,500,300,500,87,113,87,113,61,139,61,139,0.0550086,0.000210511,8.42045,21.1176,1240,19.6947,0.0501398,0.00339229,2.29319,2.54847,140,2.51332,0.0550086,0.0013243,8.05705,19.057,1101,18.0643,4.33248,0.0521364,2085.46,2085.46,5728,2083.28,2.78955,0.479049,323.837,323.837,395,323.645,4.33248,0.327484,1992.41,1992.41,4868,1991.46,342.351,316.512,1.26605e+07,1.26605e+07,40000,1.26605e+07,342.351,331.034,223779,223779,676,223779,342.351,317.888,1.93403e+06,1.93403e+06,6084,1.93403e+06
strong,strong_8mshear_restart96h,8,96,wrf_ideal_8mshear_restart_at_96h_28sst_minsetup_largeTC_d2.nc,14,5,3,16.2788,48.8365,48.8365,146.509,16,300,500,300,500,84,116,84,116,52,148,52,148,0.0751656,0.000187948,7.51792,19.0123,1057,17.7834,0.040942,0.00317378,3.24995,3.88938,229,3.66938,0.0751656,0.000817632,7.5353,18.7565,1053,17.7553,4.11411,0.046466,1858.64,1858.64,5827,1856.15,2.21801,0.458407,469.408,469.408,730,469.22,4.11411,0.200878,1851.29,1851.29,5603,1849.6,342.656,316.469,1.26588e+07,1.26588e+07,40000,1.26588e+07,342.656,327.512,335372,335372,1024,335372,342.656,317.608,2.92707e+06,2.92707e+06,9216,2.92707e+06
strong,strong_8mshear_restart96h,8,96,wrf_ideal_8mshear_restart_at_96h_28sst_minsetup_largeTC_d2.nc,15,5,3,16.5529,49.6588,49.6588,148.977,17,300,500,300,500,83,117,83,117,49,151,49,151,0.069432,0.000230953,9.23814,19.0218,1179,17.8406,0.042375,0.00423035,4.89029,5.46096,327,5.35765,0.069432,0.00088551,9.21284,18.931,1178,17.8299,2.8355,0.0461091,1844.36,1844.36,5403,1841.48,2.8355,0.576523,666.461,666.461,810,666.221,2.8355,0.176783,1839.25,1839.25,5263,1836.91,340.342,316.541,1.26616e+07,1.26616e+07,40000,1.26616e+07,340.342,326.61,377562,377562,1156,377562,340.342,317.677,3.30512e+06,3.30512e+06,10404,3.30512e+06
strong,strong_8mshear_restart96h,8,96,wrf_ideal_8mshear_restart_at_96h_28sst_minsetup_largeTC_d2.nc,16,5,3,13.1529,39.4588,39.4588,118.377,13,300,500,300,500,87,113,87,113,61,139,61,139,0.0703999,0.000247215,9.88859,20.4633,1208,19.2285,0.0507737,0.00208636,1.41038,1.67893,90,1.62345,0.0703999,0.00169357,10.3037,19.3987,1132,18.3268,4.88151,0.0491554,1966.21,1966.21,5285,1963.69,2.6578,0.322746,218.176,218.176,386,217.937,4.88151,0.315089,1917,1917,4622,1915.7,341.302,316.772,1.26709e+07,1.26709e+07,40000,1.26709e+07,341.302,331.274,223942,223942,676,223942,341.302,318.411,1.93721e+06,1.93721e+06,6084,1.93721e+06
strong,strong_8mshear_restart96h,8,96,wrf_ideal_8mshear_restart_at_96h_28sst_minsetup_largeTC_d2.nc,17,5,3,12.6491,37.9473,37.9473,113.842,13,300,500,300,500,87,113,87,113,61,139,61,139,0.0663351,0.000212914,8.51655,21.8555,1159,20.7395,0.0255079,0.000630464,0.426193,0.697233,46,0.648087,0.0663351,0.00148213,9.01728,20.7692,1101,19.7255,3.80985,0.0519082,2076.33,2076.33,5417,2073.55,2.24609,0.300883,203.397,203.397,394,203.18,3.80985,0.331869,2019.09,2019.09,4655,2017.82,340.892,316.745,1.26698e+07,1.26698e+07,40000,1.26698e+07,340.892,331.205,223895,223895,676,223895,340.892,318.2,1.93593e+06,1.93593e+06,6084,1.93593e+06
strong,strong_8mshear_restart96h,8,96,wrf_ideal_8mshear_restart_at_96h_28sst_minsetup_largeTC_d2.nc,18,5,3,8.544,25.632,25.632,76.896,9,300,500,300,500,91,109,91,109,73,127,73,127,0.0467436,0.000206858,8.2743,19.5458,1223,18.3011,0.0157144,-0.000229915,-0.0744925,0.042314,3,0.0369897,0.0454183,0.00260539,7.59732,11.696,730,11.1092,2.56396,0.0476417,1905.67,1905.67,5686,1902.65,2.05067,0.182576,59.1547,59.1547,112,58.9834,2.42768,0.427558,1246.76,1246.76,2506,1246.36,339.884,316.606,1.26642e+07,1.26642e+07,40000,1.26642e+07,339.884,334.539,108391,108391,324,108391,339.884,320.863,935635,935635,2916,935635
strong,strong_8mshear_restart96h,8,96,wrf_ideal_8mshear_restart_at_96h_28sst_minsetup_largeTC_d2.nc,19,5,3,12.6491,37.9473,37.9473,113.842,13,300,500,300,500,87,113,87,113,61,139,61,139,0.0602532,0.000217172,8.68689,20.0606,1159,18.7998,0.0241606,0.000650837,0.439966,0.72803,57,0.653813,0.0602532,0.00159185,9.68482,19.1514,1099,18.0467,3.98751,0.0479429,1917.71,1917.71,5560,1913.91,2.01735,0.262837,177.678,177.678,394,177.457,3.98751,0.306494,1864.71,1864.71,4713,1863.49,340.297,316.767,1.26707e+07,1.26707e+07,40000,1.26707e+07,340.297,330.666,223530,223530,676,223530,340.297,318.424,1.93729e+06,1.93729e+06,6084,1.93729e+06
strong,strong_8mshear_restart96h,8,96,wrf_ideal_8mshear_restart_at_96h_28sst_minsetup_largeTC_d2.nc,20,5,3,16.1555,48.4665,48.4665,145.399,16,300,500,300,500,84,116,84,116,52,148,52,148,0.0611644,0.000213702,8.54807,21.8103,1274,20.5648,0.0448151,0.00256509,2.62665,3.64536,223,3.54412,0.0611644,0.00100238,9.23796,21.7843,1272,20.5408,4.65589,0.0523917,2095.67,2095.67,5535,2091.52,3.00126,0.409291,419.114,419.114,735,418.83,4.65589,0.226573,2088.1,2088.1,5208,2085.89,340.486,316.782,1.26713e+07,1.26713e+07,40000,1.26713e+07,340.486,327.095,334946,334946,1024,334946,340.486,317.744,2.92833e+06,2.92833e+06,9216,2.92833e+06
strong,strong_8mshear_restart96h,8,96,wrf_ideal_8mshear_restart_at_96h_28sst_minsetup_largeTC_d2.nc,21,5,3,12.53,37.5899,37.5899,112.77,13,300,500,300,500,87,113,87,113,61,139,61,139,0.0724808,0.000210657,8.4263,21.9685,1288,20.8347,0.0431837,0.00157774,1.06655,1.43214,69,1.40551,0.0724808,0.00174982,10.6459,20.7942,1208,19.8752,3.71929,0.0545848,2183.39,2183.39,6133,2179.56,2.55489,0.340004,229.843,229.843,370,229.56,3.71929,0.337755,2054.9,2054.9,4869,2053.73,340.301,316.492,1.26597e+07,1.26597e+07,40000,1.26597e+07,340.301,330.634,223509,223509,676,223509,340.301,318.541,1.93801e+06,1.93801e+06,6084,1.93801e+06
strong,strong_8mshear_restart96h,8,96,wrf_ideal_8mshear_restart_at_96h_28sst_minsetup_largeTC_d2.nc,22,5,3,13.3417,40.025,40.025,120.075,13,300,500,300,500,87,113,87,113,61,139,61,139,0.0742215,0.000282835,11.3134,24.2429,1317,23.0454,0.029463,0.00127473,0.861718,1.04834,72,0.971784,0.0742215,0.0020702,12.5951,23.0242,1236,21.9418,3.8996,0.053142,2125.68,2125.68,6300,2122.29,2.79616,0.223796,151.286,151.286,398,151.021,3.8996,0.337938,2056.01,2056.01,5103,2055.24,339.662,316.335,1.26534e+07,1.26534e+07,40000,1.26534e+07,339.662,330.178,223201,223201,676,223201,339.662,318.204,1.93595e+06,1.93595e+06,6084,1.93595e+06
strong,strong_8mshear_restart96h,8,96,wrf_ideal_8mshear_restart_at_96h_28sst_minsetup_largeTC_d2.nc,23,5,3,13.0384,39.1152,39.1152,117.346,13,300,500,300,500,87,113,87,113,61,139,61,139,0.0732901,0.000217899,8.71598,23.1936,1352,22.0133,0.0293997,0.000472943,0.319709,0.606308,46,0.586793,0.0732901,0.0016674,10.1445,22.0452,1290,20.9586,3.36019,0.0546411,2185.64,2185.64,6110,2182.34,2.44564,0.233426,157.796,157.796,359,157.492,3.36019,0.346477,2107.96,2107.96,4967,2106.97,338.537,316.22,1.26488e+07,1.26488e+07,40000,1.26488e+07,338.537,330.288,223275,223275,676,223275,338.537,317.896,1.93408e+06,1.93408e+06,6084,1.93408e+06
strong,strong_9mshear_restart96h,9,96,wrf_ideal_9mshear_restart_at_96h_28sst_minsetup_largeTC_d2.nc,0,5,3,15.2643,45.793,45.793,137.379,15,300,500,300,500,85,115,85,115,55,145,55,145,0.0573986,0.000147116,5.88463,18.5456,986,17.4679,0.0462632,0.00385689,3.4712,4.24631,213,4.15665,0.0573986,0.000805601,6.52537,18.3904,975,17.3397,3.39851,0.047124,1884.96,1884.96,5035,1882.34,2.46288,0.614407,552.966,552.966,634,552.707,3.39851,0.231872,1878.16,1878.16,4851,1876.31,340.237,315.41,1.26164e+07,1.26164e+07,40000,1.26164e+07,340.237,329.299,296369,296369,900,296369,340.237,316.873,2.56667e+06,2.56667e+06,8100,2.56667e+06
strong,strong_9mshear_restart96h,9,96,wrf_ideal_9mshear_restart_at_96h_28sst_minsetup_largeTC_d2.nc,1,5,3,14.8661,44.5982,44.5982,133.795,15,300,500,300,500,85,115,85,115,55,145,55,145,0.0642684,0.00018997,7.59879,19.6962,1038,18.8376,0.0635094,0.00615792,5.54212,6.31117,281,6.24637,0.0642684,0.00101016,8.18232,19.6665,1035,18.8122,3.00864,0.0488645,1954.58,1954.58,4593,1951.84,3.00864,0.727332,654.599,654.599,634,654.412,3.00864,0.240642,1949.2,1949.2,4490,1947.07,340.521,315.367,1.26147e+07,1.26147e+07,40000,1.26147e+07,340.521,328.612,295751,295751,900,295751,340.521,317.022,2.56788e+06,2.56788e+06,8100,2.56788e+06
