group,n_cases,frame_h,rmw_grid,rmw_km,three_rmw_grid,three_rmw_km,box_half_width_grid,heating_max,heating_mean,heating_sum,heating_positive_sum,heating_n_above_threshold,heating_sum_above_threshold,heating_box_max,heating_box_mean,heating_box_sum,heating_box_positive_sum,heating_box_n_above_threshold,heating_box_sum_above_threshold,heating_box_large_max,heating_box_large_mean,heating_box_large_sum,heating_box_large_positive_sum,heating_box_large_n_above_threshold,heating_box_large_sum_above_threshold,rain_max,rain_mean,rain_sum,rain_positive_sum,rain_n_above_threshold,rain_sum_above_threshold,rain_box_max,rain_box_mean,rain_box_sum,rain_box_positive_sum,rain_box_n_above_threshold,rain_box_sum_above_threshold,rain_box_large_max,rain_box_large_mean,rain_box_large_sum,rain_box_large_positive_sum,rain_box_large_n_above_threshold,rain_box_large_sum_above_threshold,theta_max,theta_mean,theta_sum,theta_positive_sum,theta_n_above_threshold,theta_sum_above_threshold,theta_box_max,theta_box_mean,theta_box_sum,theta_box_positive_sum,theta_box_n_above_threshold,theta_box_sum_above_threshold,theta_box_large_max,theta_box_large_mean,theta_box_large_sum,theta_box_large_positive_sum,theta_box_large_n_above_threshold,theta_box_large_sum_above_threshold,rain_RMW_to_3RMW_ratio,heating_RMW_to_3RMW_ratio
strong,5,0,14.9954,44.9861,44.9861,134.958,14.8,0.0679226,0.000168133,6.72534,18.6091,997.2,17.5782,0.0473135,0.00373026,3.31201,4.01663,206.6,3.92905,0.0679226,0.000918257,7.1516,18.1969,973.4,17.218,3.44774,0.0473754,1895.02,1895.02,4958,1892.46,2.32616,0.578317,512.961,512.961,611.2,512.724,3.44774,0.238733,1873.39,1873.39,4694.2,1871.63,340.441,315.552,1.26221e+07,1.26221e+07,40000,1.26221e+07,340.441,329.336,288788,288788,876.8,288788,340.441,316.985,2.50129e+06,2.50129e+06,7891.2,2.50129e+06,0.273815,0.463115
strong,5,1,14.4953,43.486,43.486,130.458,14.6,0.0659602,0.000194973,7.79893,19.4451,1025.8,18.6003,0.0556586,0.00515582,4.63286,5.34134,245.4,5.26278,0.0659602,0.00109024,8.24929,19.2066,1011.2,18.3957,3.07394,0.0489742,1958.97,1958.97,4643,1956.24,2.99359,0.648018,566.65,566.65,607.2,566.456,3.07394,0.267454,1950.65,1950.65,4470.2,1948.81,340.74,315.53,1.26212e+07,1.26212e+07,40000,1.26212e+07,340.74,329.352,284705,284705,866.4,284705,340.74,317.436,2.47389e+06,2.47389e+06,7797.6,2.47389e+06,0.290493,0.561607
strong,5,2,14.9347,44.8042,44.8042,134.412,15,0.0608185,0.000195225,7.80899,18.7435,1002.4,17.8313,0.053853,0.00623723,5.87288,6.61304,303.2,6.54122,0.0602842,0.00102083,8.18646,18.5238,993.6,17.6835,2.80879,0.0464247,1856.99,1856.99,4575.8,1854.13,2.80879,0.72554,667.275,667.275,651.8,667.077,2.80879,0.231519,1840.34,1840.34,4374,1838.5,341.299,315.615,1.26246e+07,1.26246e+07,40000,1.26246e+07,341.299,328.892,298317,298317,908,298317,341.299,317.35,2.59294e+06,2.59294e+06,8172,2.59294e+06,0.362583,0.717389
strong,5,3,14.0217,42.0652,42.0652,126.196,13.8,0.0672955,0.000225408,9.01631,21.7317,1144.8,20.6871,0.0622647,0.00496106,3.86328,4.4226,205.8,4.36262,0.0672955,0.00130061,8.83416,20.3922,1078.2,19.5008,3.42743,0.0507333,2029.33,2029.33,4954.4,2026.07,3.31191,0.68812,530.871,530.871,527.2,530.696,3.42743,0.289266,1974.73,1974.73,4353,1973.22,341.453,315.703,1.26281e+07,1.26281e+07,40000,1.26281e+07,341.453,329.822,251909,251909,764,251909,341.453,317.465,2.18282e+06,2.18282e+06,6876,2.18282e+06,0.268833,0.437311
strong,5,4,14.2989,42.8968,42.8968,128.69,14.2,0.0694899,0.000188711,7.54845,21.7918,1222.2,20.5696,0.0540633,0.00420334,3.74345,4.45492,226.2,4.36912,0.0690649,0.000991126,6.99625,19.5044,1092.4,18.558,3.21562,0.0522021,2088.09,2088.09,5581.2,2084.74,2.82958,0.562103,485.241,485.241,563.2,485.08,3.21562,0.281867,1965.75,1965.75,4662.8,1964.26,342.771,315.79,1.26316e+07,1.26316e+07,40000,1.26316e+07,342.771,329.374,268583,268583,816.8,268583,342.771,317.369,2.33233e+06,2.33233e+06,7351.2,2.33233e+06,0.246847,0.535065
strong,5,5,13.829,41.4869,41.4869,124.461,13.8,0.06655,0.000216507,8.66029,22.121,1217.2,20.8965,0.0473823,0.00308157,3.02759,3.66372,185.4,3.60726,0.0610283,0.00142049,8.09268,18.5248,1031,17.762,3.59765,0.0503921,2015.68,2015.68,6199,2012.18,3.09268,0.439954,388.839,388.839,532,388.713,3.46949,0.293703,1833.59,1833.59,4626,1832.16,341.321,315.816,1.26326e+07,1.26326e+07,40000,1.26326e+07,341.321,330.161,259000,259000,788,259000,341.321,318.184,2.25401e+06,2.25401e+06,7092,2.25401e+06,0.212064,0.374115
strong,5,6,13.667,41.0009,41.0009,123.003,13.6,0.0605229,0.000242119,9.68478,23.3466,1330.6,21.9934,0.0528166,0.00480127,3.89535,4.48494,213,4.42186,0.0581,0.00158857,9.72492,19.5631,1104.8,18.6345,3.95598,0.0497075,1988.3,1988.3,6493.8,1984.25,3.02916,0.59589,462.219,462.219,497.8,462.06,3.95598,0.278315,1747.76,1747.76,4543.4,1746.39,341.681,315.847,1.26339e+07,1.26339e+07,40000,1.26339e+07,341.681,329.627,249291,249291,758.4,249291,341.681,318.009,2.16886e+06,2.16886e+06,6825.6,2.16886e+06,0.264464,0.400554
strong,5,7,13.0866,39.2599,39.2599,117.78,13.2,0.0632468,0.000234607,9.3843,23.7392,1373.2,22.3814,0.0491262,0.00246566,2.37821,2.93054,175.2,2.84613,0.0622573,0.00174342,9.58469,19.3723,1116.2,18.4454,4.08044,0.0522299,2089.19,2089.19,6531.4,2085.02,2.22086,0.372889,317.298,317.298,472.2,317.109,4.08044,0.327541,1798.16,1798.16,4384.6,1796.92,341.949,315.859,1.26344e+07,1.26344e+07,40000,1.26344e+07,341.949,330.639,243669,243669,742.4,243669,341.949,318.04,2.12214e+06,2.12214e+06,6681.6,2.12214e+06,0.176457,0.248126
strong,5,8,13.7558,41.2674,41.2674,123.802,13.6,0.0659987,0.000205511,8.22043,22.604,1340.8,21.2138,0.0431272,0.00306073,2.73752,3.17631,179.6,3.09247,0.0659987,0.00130761,8.04647,18.0064,1076.8,17.0427,3.72641,0.0497361,1989.44,1989.44,6736,1985.22,2.84338,0.389701,321.482,321.482,491.8,321.285,3.57646,0.279352,1692.66,1692.66,4622.4,1691.36,341.081,315.801,1.26321e+07,1.26321e+07,40000,1.26321e+07,341.081,329.209,254026,254026,776,254026,341.081,317.898,2.21675e+06,2.21675e+06,6984,2.21675e+06,0.189927,0.340214
strong,5,9,15.1633,45.4899,45.4899,136.47,15.2,0.0600322,0.00018928,7.57118,21.2669,1317,19.6117,0.0428764,0.00367404,3.4279,3.96956,240,3.81524,0.0562641,0.000995324,8.09456,18.4531,1166,17.0894,3.41694,0.0471354,1885.41,1885.41,7018,1880.91,2.84813,0.470717,437.291,437.291,622,437.054,3.41694,0.210507,1712.11,1712.11,5526.4,1710.15,339.713,315.789,1.26316e+07,1.26316e+07,40000,1.26316e+07,339.713,326.511,304628,304628,934.4,304628,339.713,317.384,2.66779e+06,2.66779e+06,8409.6,2.66779e+06,0.25541,0.423482
strong,5,10,14.0197,42.059,42.059,126.177,14.2,0.0646251,0.000207777,8.31107,20.5515,1312,18.8237,0.0385832,0.00292027,2.44758,2.77712,194.6,2.65966,0.0594564,0.00123185,8.61329,17.0449,1109,15.7137,3.4277,0.0453963,1815.85,1815.85,6571.4,1811.18,2.48391,0.373409,299.345,299.345,485.6,299.136,2.92497,0.22892,1602.63,1602.63,4834.2,1600.83,338.244,315.919,1.26368e+07,1.26368e+07,40000,1.26368e+07,338.244,327.287,266320,266320,815.2,266320,338.244,317.727,2.32988e+06,2.32988e+06,7336.8,2.32988e+06,0.186783,0.284164
strong,5,11,11.506,34.518,34.518,103.554,11.4,0.0568115,0.000239334,9.57336,21.4488,1362.4,19.4147,0.0264091,0.00213808,1.25956,1.42315,89.2,1.39184,0.0505939,0.00216926,9.69292,15.4112,993.2,14.2295,3.55523,0.0448471,1793.88,1793.88,6532.6,1789.35,2.90697,0.278845,150.605,150.605,261.6,150.474,3.55523,0.313316,1394.28,1394.28,3515.4,1393.25,338.315,316.09,1.26436e+07,1.26436e+07,40000,1.26436e+07,338.315,330.051,173640,173640,527.2,173640,338.315,318.983,1.51246e+06,1.51246e+06,4744.8,1.51246e+06,0.108016,0.129946
