group,case_id,shear_ms,restart_h,path,frame_h,consider_level,size_of_large_box,rmw_grid,rmw_km,three_rmw_grid,three_rmw_km,box_half_width_grid,crop_y1,crop_y2,crop_x1,crop_x2,box_y1,box_y2,box_x1,box_x2,box_large_y1,box_large_y2,box_large_x1,box_large_x2,heating_max,heating_mean,heating_sum,heating_positive_sum,heating_n_above_threshold,heating_sum_above_threshold,heating_box_max,heating_box_mean,heating_box_sum,heating_box_positive_sum,heating_box_n_above_threshold,heating_box_sum_above_threshold,heating_box_large_max,heating_box_large_mean,heating_box_large_sum,heating_box_large_positive_sum,heating_box_large_n_above_threshold,heating_box_large_sum_above_threshold,rain_max,rain_mean,rain_sum,rain_positive_sum,rain_n_above_threshold,rain_sum_above_threshold,rain_box_max,rain_box_mean,rain_box_sum,rain_box_positive_sum,rain_box_n_above_threshold,rain_box_sum_above_threshold,rain_box_large_max,rain_box_large_mean,rain_box_large_sum,rain_box_large_positive_sum,rain_box_large_n_above_threshold,rain_box_large_sum_above_threshold,theta_max,theta_mean,theta_sum,theta_positive_sum,theta_n_above_threshold,theta_sum_above_threshold,theta_box_max,theta_box_mean,theta_box_sum,theta_box_positive_sum,theta_box_n_above_threshold,theta_box_sum_above_threshold,theta_box_large_max,theta_box_large_mean,theta_box_large_sum,theta_box_large_positive_sum,theta_box_large_n_above_threshold,theta_box_large_sum_above_threshold
weak,weak_8mshear_restart54h,8,54,wrf_ideal_8mshear_restart_at_54h_28sst_minsetup_largeTC_d2.nc,0,5,3,14.8661,44.5982,44.5982,133.795,15,300,500,300,500,85,115,85,115,55,145,55,145,0.0661411,0.000170419,6.81677,18.1041,1087,16.2863,0.0236451,0.000580692,0.522623,0.737712,49,0.568098,0.0584009,0.00085637,6.9366,13.457,842,12.014,3.41558,0.0401511,1606.04,1606.04,8039,1600.66,1.21172,0.114951,103.456,103.456,499,103.234,3.41558,0.164381,1331.48,1331.48,5483,1329.94,323.432,313.398,1.25359e+07,1.25359e+07,40000,1.25359e+07,323.432,320.01,288009,288009,900,288009,323.432,314.393,2.54659e+06,2.54659e+06,8100,2.54659e+06
weak,weak_8mshear_restart54h,8,54,wrf_ideal_8mshear_restart_at_54h_28sst_minsetup_largeTC_d2.nc,1,5,3,15.8114,47.4342,47.4342,142.302,16,300,500,300,500,84,116,84,116,52,148,52,148,0.0733508,0.000195465,7.8186,17.5719,1086,15.6803,0.0258133,0.000872314,0.893249,1.09262,80,0.885124,0.0733508,0.000774863,7.14114,13.6013,866,12.0436,3.7742,0.0398209,1592.84,1592.84,7689,1587.92,1.38387,0.155976,159.719,159.719,610,159.463,3.7742,0.151369,1395.02,1395.02,5938,1392.93,323.311,313.399,1.2536e+07,1.2536e+07,40000,1.2536e+07,323.311,319.625,327296,327296,1024,327296,323.311,314.281,2.89641e+06,2.89641e+06,9216,2.89641e+06
weak,weak_8mshear_restart54h,8,54,wrf_ideal_8mshear_restart_at_54h_28sst_minsetup_largeTC_d2.nc,2,5,3,16.1555,48.4665,48.4665,145.399,16,300,500,300,500,84,116,84,116,52,148,52,148,0.0598438,0.000162406,6.49626,16.331,1048,14.4068,0.0249802,0.00149554,1.53143,1.7512,141,1.56515,0.0536491,0.000639565,5.89423,11.9796,813,10.338,2.84287,0.0368881,1475.53,1475.53,7998,1471.07,1.74955,0.216398,221.591,221.591,573,221.419,2.84287,0.13512,1245.26,1245.26,5927,1243.47,323.752,313.501,1.25401e+07,1.25401e+07,40000,1.25401e+07,323.752,319.672,327344,327344,1024,327344,323.752,314.337,2.89693e+06,2.89693e+06,9216,2.89693e+06
weak,weak_8mshear_restart54h,8,54,wrf_ideal_8mshear_restart_at_54h_28sst_minsetup_largeTC_d2.nc,3,5,3,12.0416,36.1248,36.1248,108.374,12,300,500,300,500,88,112,88,112,64,136,64,136,0.0777809,0.000148084,5.92337,15.2747,941,13.2591,0.027169,0.000949702,0.547028,0.630287,42,0.609653,0.0545084,0.00101171,5.24469,9.58384,644,8.28112,2.82984,0.0357394,1429.58,1429.58,7244,1424.19,1.84757,0.151044,87.0012,87.0012,213,86.8211,2.68838,0.201703,1045.63,1045.63,4132,1044.7,323.766,313.674,1.25469e+07,1.25469e+07,40000,1.25469e+07,323.766,321.451,185156,185156,576,185156,323.766,315.432,1.6352e+06,1.6352e+06,5184,1.6352e+06
weak,weak_8mshear_restart54h,8,54,wrf_ideal_8mshear_restart_at_54h_28sst_minsetup_largeTC_d2.nc,4,5,3,17.6918,53.0754,53.0754,159.226,18,300,500,300,500,82,118,82,118,46,154,46,154,0.0442388,0.000164312,6.57247,15.0751,958,12.9839,0.0421828,0.0032869,4.25982,5.25251,327,5.04571,0.0442388,0.000572101,6.67299,13.059,849,11.3073,3.02315,0.0346191,1384.76,1384.76,7212,1380.37,3.02315,0.375103,486.134,486.134,944,485.941,3.02315,0.1072,1250.38,1250.38,6118,1247.87,324.192,313.837,1.25535e+07,1.25535e+07,40000,1.25535e+07,324.192,319.19,413670,413670,1296,413670,324.192,314.497,3.6683e+06,3.6683e+06,11664,3.6683e+06
weak,weak_8mshear_restart54h,8,54,wrf_ideal_8mshear_restart_at_54h_28sst_minsetup_largeTC_d2.nc,5,5,3,17.4642,52.3927,52.3927,157.178,17,300,500,300,500,83,117,83,117,49,151,49,151,0.0548611,0.000221928,8.87713,16.6313,1077,14.3215,0.0306573,0.00296282,3.42501,3.879,254,3.62613,0.0548611,0.000787123,8.18923,14.4535,958,12.5754,3.20713,0.0351304,1405.21,1405.21,6495,1401.42,2.07686,0.324775,375.44,375.44,746,375.179,3.20713,0.125676,1307.54,1307.54,5761,1305.02,325.856,314.049,1.2562e+07,1.2562e+07,40000,1.2562e+07,325.856,319.312,369125,369125,1156,369125,325.856,314.752,3.27468e+06,3.27468e+06,10404,3.27468e+06
weak,weak_8mshear_restart54h,8,54,wrf_ideal_8mshear_restart_at_54h_28sst_minsetup_largeTC_d2.nc,6,5,3,14.8661,44.5982,44.5982,133.795,15,300,500,300,500,85,115,85,115,55,145,55,145,0.0586804,0.000236611,9.46445,19.413,1211,16.7924,0.0412865,0.00194985,1.75487,2.09429,135,1.78219,0.0568566,0.000921458,7.46381,14.7148,955,12.7759,4.25507,0.0396974,1587.9,1587.9,7093,1583.85,4.11501,0.217077,195.369,195.369,501,195.112,4.25507,0.166373,1347.63,1347.63,5513,1345.89,325.794,314.341,1.25736e+07,1.25736e+07,40000,1.25736e+07,325.794,319.727,287755,287755,900,287755,325.794,315.099,2.5523e+06,2.5523e+06,8100,2.5523e+06
weak,weak_8mshear_restart54h,8,54,wrf_ideal_8mshear_restart_at_54h_28sst_minsetup_largeTC_d2.nc,7,5,3,9.21954,27.6586,27.6586,82.9759,9,300,500,300,500,91,109,91,109,73,127,73,127,0.0548784,0.00020446,8.17841,16.9993,1109,14.384,0.0190309,0.0002536,0.0821664,0.116947,10,0.0952056,0.0362484,0.00230535,6.72241,8.98232,627,7.90323,3.79589,0.0370422,1481.69,1481.69,7560,1478.29,1.49234,0.110616,35.8395,35.8395,81,35.7656,2.58229,0.276078,805.044,805.044,2333,804.634,327.268,314.413,1.25765e+07,1.25765e+07,40000,1.25765e+07,327.268,323.025,104660,104660,324,104660,327.268,316.855,923950,923950,2916,923950
weak,weak_8mshear_restart54h,8,54,wrf_ideal_8mshear_restart_at_54h_28sst_minsetup_largeTC_d2.nc,8,5,3,15.5563,46.669,46.669,140.007,16,300,500,300,500,84,116,84,116,52,148,52,148,0.0653965,0.000193674,7.74698,16.5286,1147,13.7215,0.0587387,0.00198822,2.03594,2.28018,200,1.96486,0.0587387,0.00086242,7.94806,13.7346,1011,11.2634,4.14508,0.0359249,1436.99,1436.99,7549,1432.49,3.37802,0.204566,209.476,209.476,645,209.321,3.37802,0.133139,1227.01,1227.01,5697,1224.91,326.014,314.534,1.25814e+07,1.25814e+07,40000,1.25814e+07,326.014,320.525,328217,328217,1024,328217,326.014,315.526,2.90789e+06,2.90789e+06,9216,2.90789e+06
weak,weak_8mshear_restart54h,8,54,wrf_ideal_8mshear_restart_at_54h_28sst_minsetup_largeTC_d2.nc,9,5,3,18.0278,54.0833,54.0833,162.25,18,300,500,300,500,82,118,82,118,46,154,46,154,0.053767,0.000152606,6.10424,14.9823,971,12.1624,0.0275832,0.00238545,3.09154,3.37092,278,2.98473,0.053767,0.000507721,5.92206,12.3673,839,9.88541,3.15212,0.0346701,1386.8,1386.8,7580,1381.9,2.9975,0.253919,329.078,329.078,813,328.868,3.15212,0.101691,1186.12,1186.12,6449,1182.85,327.288,314.52,1.25808e+07,1.25808e+07,40000,1.25808e+07,327.288,319.779,414434,414434,1296,414434,327.288,314.904,3.67303e+06,3.67303e+06,11664,3.67303e+06
