group,n_cases,frame_h,rmw_grid,rmw_km,three_rmw_grid,three_rmw_km,box_half_width_grid,heating_max,heating_mean,heating_sum,heating_positive_sum,heating_n_above_threshold,heating_sum_above_threshold,heating_box_max,heating_box_mean,heating_box_sum,heating_box_positive_sum,heating_box_n_above_threshold,heating_box_sum_above_threshold,heating_box_large_max,heating_box_large_mean,heating_box_large_sum,heating_box_large_positive_sum,heating_box_large_n_above_threshold,heating_box_large_sum_above_threshold,rain_max,rain_mean,rain_sum,rain_positive_sum,rain_n_above_threshold,rain_sum_above_threshold,rain_box_max,rain_box_mean,rain_box_sum,rain_box_positive_sum,rain_box_n_above_threshold,rain_box_sum_above_threshold,rain_box_large_max,rain_box_large_mean,rain_box_large_sum,rain_box_large_positive_sum,rain_box_large_n_above_threshold,rain_box_large_sum_above_threshold,theta_max,theta_mean,theta_sum,theta_positive_sum,theta_n_above_threshold,theta_sum_above_threshold,theta_box_max,theta_box_mean,theta_box_sum,theta_box_positive_sum,theta_box_n_above_threshold,theta_box_sum_above_threshold,theta_box_large_max,theta_box_large_mean,theta_box_large_sum,theta_box_large_positive_sum,theta_box_large_n_above_threshold,theta_box_large_sum_above_threshold,rain_RMW_to_3RMW_ratio,heating_RMW_to_3RMW_ratio
weak,5,0,17.0091,51.0274,51.0274,153.082,17,0.0619126,0.000189359,7.57436,17.3915,1052.2,15.5594,0.0285902,0.0015384,2.21756,2.82873,181.4,2.53185,0.0554074,0.000725711,7.21317,13.6976,865.2,12.2511,3.6018,0.0397828,1591.31,1591.31,7196.6,1587.17,1.99537,0.218867,301.907,301.907,789.4,301.701,3.6018,0.138985,1380.03,1380.03,5402.2,1378.48,324.439,313.759,1.25503e+07,1.25503e+07,40000,1.25503e+07,324.439,319.51,376812,376812,1180,376812,324.439,314.417,3.3392e+06,3.3392e+06,10620,3.3392e+06,0.218769,0.307432
weak,5,1,16.7704,50.3112,50.3112,150.933,17,0.0688658,0.000199386,7.97545,16.9645,1042.4,15.0813,0.0294476,0.00118623,1.53426,1.97727,141.6,1.75528,0.0628833,0.000724893,7.35655,13.9228,880.4,12.403,3.56304,0.0387605,1550.42,1550.42,6717.8,1546.48,1.63727,0.20686,259.764,259.764,750,259.526,3.56304,0.138228,1401.7,1401.7,5385,1399.86,324.42,313.796,1.25518e+07,1.25518e+07,40000,1.25518e+07,324.42,319.41,372715,372715,1167.2,372715,324.42,314.434,3.30328e+06,3.30328e+06,10504.8,3.30328e+06,0.185321,0.208557
weak,5,2,15.9927,47.9781,47.9781,143.934,15.8,0.0584291,0.000181885,7.2754,16.6231,1034.6,14.7275,0.0323353,0.00148028,1.72094,2.18045,140.6,1.97216,0.0518292,0.000802485,7.02528,13.3462,862.6,11.8032,3.34448,0.0380631,1522.52,1522.52,6974.6,1518.78,2.61696,0.196576,220.57,220.57,614.2,220.413,3.34448,0.150444,1326.83,1326.83,5179,1325.26,324.941,313.913,1.25565e+07,1.25565e+07,40000,1.25565e+07,324.941,320.053,324798,324798,1015.2,324798,324.941,314.782,2.87611e+06,2.87611e+06,9136.8,2.87611e+06,0.166239,0.244963
weak,5,3,12.6393,37.9178,37.9178,113.753,12.8,0.0754115,0.000147974,5.91895,14.5915,932.6,12.738,0.0335988,0.00129807,1.41574,1.66357,110.2,1.57355,0.0569675,0.00112032,5.2896,9.78809,662.4,8.69984,3.14606,0.0361196,1444.78,1444.78,6770.8,1440.33,1.92038,0.195455,184.684,184.684,392.2,184.505,2.76935,0.213907,1093.34,1093.34,3795.6,1092.33,325.168,314.032,1.25613e+07,1.25613e+07,40000,1.25613e+07,325.15,321.238,232715,232715,726.4,232715,325.168,315.823,2.06156e+06,2.06156e+06,6537.6,2.06156e+06,0.168917,0.267646
weak,5,4,16.1593,48.4779,48.4779,145.434,16.2,0.0568563,0.000168765,6.75062,15.5163,998.6,13.551,0.0462986,0.00275943,3.07403,3.95139,233.8,3.79076,0.04809,0.000762077,6.91903,13.5088,886.6,11.8862,3.79081,0.0352021,1408.08,1408.08,6763.4,1403.98,3.74757,0.351587,384.515,384.515,739.8,384.325,3.79081,0.139009,1270.33,1270.33,5394.2,1268.14,325.197,314.15,1.2566e+07,1.2566e+07,40000,1.2566e+07,325.197,319.706,340313,340313,1064.8,340313,325.197,315.185,3.01974e+06,3.01974e+06,9583.2,3.01974e+06,0.30269,0.444286
weak,5,5,14.661,43.983,43.983,131.949,14.6,0.052206,0.000205938,8.23752,16.4232,1094.4,14.2112,0.0295974,0.00191428,2.51558,2.95257,208.4,2.74025,0.0482958,0.00132423,7.79047,13.0323,892,11.3717,3.05114,0.0352396,1409.59,1409.59,6582.4,1405.9,1.7842,0.216275,266.694,266.694,567.6,266.509,3.00098,0.187434,1180.85,1180.85,4632.2,1179.23,326.576,314.312,1.25725e+07,1.25725e+07,40000,1.25725e+07,326.576,321.136,295825,295825,925.6,295825,326.576,315.726,2.62486e+06,2.62486e+06,8330.4,2.62486e+06,0.225849,0.322905
weak,5,6,15.8282,47.4846,47.4846,142.454,15.8,0.0594855,0.00022237,8.89481,18.9979,1255.6,16.3464,0.0419092,0.00251076,2.9634,3.4312,230.2,3.15859,0.0529659,0.000928766,7.84699,15.3749,1053,13.2766,3.6482,0.0394925,1579.7,1579.7,7033.4,1575.4,3.06042,0.262849,300.428,300.428,656.8,300.206,3.59942,0.161352,1382.02,1382.02,5595,1379.93,326.368,314.483,1.25793e+07,1.25793e+07,40000,1.25793e+07,326.368,320.049,326084,326084,1020,326084,326.368,315.272,2.89323e+06,2.89323e+06,9180,2.89323e+06,0.217383,0.377648
weak,5,7,9.98064,29.9419,29.9419,89.8257,10,0.0598538,0.000192103,7.68413,17.2484,1132.2,14.4619,0.0203741,0.000477767,0.239594,0.338743,22.4,0.269512,0.0545013,0.00199496,6.38064,9.68563,664.4,8.50775,3.67892,0.0381357,1525.43,1525.43,7682.4,1521.47,1.76576,0.1388,58.3678,58.3678,171.6,58.2211,3.30337,0.265706,917.108,917.108,2895.6,916.349,326.517,314.497,1.25799e+07,1.25799e+07,40000,1.25799e+07,326.517,322.228,133052,133052,412.8,133052,326.517,316.701,1.17638e+06,1.17638e+06,3715.2,1.17638e+06,0.0636434,0.0375502
weak,5,8,17.6834,53.0501,53.0501,159.15,17.8,0.0620806,0.000209166,8.36663,18.3786,1211.2,15.4824,0.0519082,0.00261443,3.40515,4.09534,290.6,3.65653,0.0590733,0.000769473,8.39169,15.7064,1068.4,13.1885,4.39408,0.0393565,1574.26,1574.26,7836.6,1569.54,3.55185,0.291447,386.96,386.96,842.8,386.724,4.24066,0.124476,1386.52,1386.52,6237.2,1383.87,327.206,314.572,1.25829e+07,1.25829e+07,40000,1.25829e+07,327.206,319.76,409766,409766,1282.4,409766,327.206,315.425,3.63992e+06,3.63992e+06,11541.6,3.63992e+06,0.279087,0.405777
weak,5,9,15.199,45.5969,45.5969,136.791,15,0.0548237,0.000185739,7.42956,17.1122,1170.2,14.3272,0.0299078,0.00227492,2.22975,2.42967,187.4,2.2118,0.0493478,0.000952606,7.15184,12.2537,862.4,10.2423,3.79049,0.0383979,1535.92,1535.92,7830.8,1530.3,2.9919,0.248264,239.167,239.167,498.8,238.932,3.71965,0.157976,1184.24,1184.24,4861.8,1181.76,327.592,314.552,1.25821e+07,1.25821e+07,40000,1.25821e+07,327.592,321.111,295327,295327,920.8,295327,327.592,315.893,2.61598e+06,2.61598e+06,8287.2,2.61598e+06,0.201958,0.311774
