group,frame_h,radius_km,height_km,diabatic_heating_K_s,rmw_km,three_rmw_km
strong,0,2.5,0.337296,0.000528797,45.793,137.379
strong,0,7.5,0.337296,5.73198e-06,45.793,137.379
strong,0,12.5,0.337296,-0.000160447,45.793,137.379
strong,0,17.5,0.337296,0.000131843,45.793,137.379
strong,0,22.5,0.337296,-1.89213e-05,45.793,137.379
strong,0,27.5,0.337296,0.00267823,45.793,137.379
strong,0,32.5,0.337296,0.00404373,45.793,137.379
strong,0,37.5,0.337296,0.00476519,45.793,137.379
strong,0,42.5,0.337296,0.00666636,45.793,137.379
strong,0,47.5,0.337296,0.00427803,45.793,137.379
strong,0,52.5,0.337296,0.00292983,45.793,137.379
strong,0,57.5,0.337296,0.00164345,45.793,137.379
strong,0,62.5,0.337296,0.00127915,45.793,137.379
strong,0,67.5,0.337296,0.000786509,45.793,137.379
strong,0,72.5,0.337296,0.000681561,45.793,137.379
strong,0,77.5,0.337296,0.000743755,45.793,137.379
strong,0,82.5,0.337296,0.000500198,45.793,137.379
strong,0,87.5,0.337296,0.000307463,45.793,137.379
strong,0,92.5,0.337296,0.000349923,45.793,137.379
strong,0,97.5,0.337296,0.000304843,45.793,137.379
strong,0,102.5,0.337296,0.000258661,45.793,137.379
strong,0,107.5,0.337296,0.000316796,45.793,137.379
strong,0,112.5,0.337296,0.000200892,45.793,137.379
strong,0,117.5,0.337296,0.00014475,45.793,137.379
strong,0,122.5,0.337296,0.000137919,45.793,137.379
strong,0,127.5,0.337296,0.000161597,45.793,137.379
strong,0,132.5,0.337296,0.000151118,45.793,137.379
strong,0,137.5,0.337296,0.000140316,45.793,137.379
strong,0,142.5,0.337296,0.000108653,45.793,137.379
strong,0,147.5,0.337296,0.000125101,45.793,137.379
strong,0,152.5,0.337296,0.000150024,45.793,137.379
strong,0,157.5,0.337296,0.000115386,45.793,137.379
strong,0,162.5,0.337296,7.85621e-05,45.793,137.379
strong,0,167.5,0.337296,8.37263e-05,45.793,137.379
strong,0,172.5,0.337296,5.36079e-05,45.793,137.379
strong,0,177.5,0.337296,6.49951e-05,45.793,137.379
strong,0,182.5,0.337296,4.95266e-05,45.793,137.379
strong,0,187.5,0.337296,5.16437e-05,45.793,137.379
strong,0,192.5,0.337296,3.74701e-05,45.793,137.379
strong,0,197.5,0.337296,3.42464e-05,45.793,137.379
strong,0,202.5,0.337296,1.2315e-05,45.793,137.379
strong,0,207.5,0.337296,5.21384e-05,45.793,137.379
strong,0,212.5,0.337296,3.09513e-05,45.793,137.379
strong,0,217.5,0.337296,1.61949e-05,45.793,137.379
