group,frame_h,radius_km,height_km,diabatic_heating_K_s,rmw_km,three_rmw_km
weak,0,2.5,0.337737,4.50324e-05,60.6712,182.014
weak,0,7.5,0.337737,6.57003e-05,60.6712,182.014
weak,0,12.5,0.337737,7.61016e-05,60.6712,182.014
weak,0,17.5,0.337737,6.85679e-05,60.6712,182.014
weak,0,22.5,0.337737,0.000257,60.6712,182.014
weak,0,27.5,0.337737,0.00085797,60.6712,182.014
weak,0,32.5,0.337737,0.00046226,60.6712,182.014
weak,0,37.5,0.337737,0.0014373,60.6712,182.014
weak,0,42.5,0.337737,0.00213311,60.6712,182.014
weak,0,47.5,0.337737,0.00170871,60.6712,182.014
weak,0,52.5,0.337737,0.00187444,60.6712,182.014
weak,0,57.5,0.337737,0.00107742,60.6712,182.014
weak,0,62.5,0.337737,0.000745747,60.6712,182.014
weak,0,67.5,0.337737,0.000267719,60.6712,182.014
weak,0,72.5,0.337737,9.7691e-05,60.6712,182.014
weak,0,77.5,0.337737,4.92243e-05,60.6712,182.014
weak,0,82.5,0.337737,-1.42277e-05,60.6712,182.014
weak,0,87.5,0.337737,-9.94159e-05,60.6712,182.014
weak,0,92.5,0.337737,3.16893e-05,60.6712,182.014
weak,0,97.5,0.337737,9.91721e-05,60.6712,182.014
weak,0,102.5,0.337737,0.000145344,60.6712,182.014
weak,0,107.5,0.337737,0.000121268,60.6712,182.014
weak,0,112.5,0.337737,4.71271e-05,60.6712,182.014
weak,0,117.5,0.337737,-8.64066e-06,60.6712,182.014
weak,0,122.5,0.337737,4.36402e-05,60.6712,182.014
weak,0,127.5,0.337737,9.85723e-05,60.6712,182.014
weak,0,132.5,0.337737,4.9436e-05,60.6712,182.014
weak,0,137.5,0.337737,6.47674e-05,60.6712,182.014
weak,0,142.5,0.337737,5.26738e-05,60.6712,182.014
weak,0,147.5,0.337737,4.18634e-05,60.6712,182.014
weak,0,152.5,0.337737,4.78915e-05,60.6712,182.014
weak,0,157.5,0.337737,4.33464e-05,60.6712,182.014
weak,0,162.5,0.337737,2.69682e-05,60.6712,182.014
weak,0,167.5,0.337737,3.22145e-05,60.6712,182.014
weak,0,172.5,0.337737,4.45674e-05,60.6712,182.014
weak,0,177.5,0.337737,3.95117e-05,60.6712,182.014
weak,0,182.5,0.337737,5.43225e-05,60.6712,182.014
weak,0,187.5,0.337737,3.37939e-05,60.6712,182.014
weak,0,192.5,0.337737,4.23526e-05,60.6712,182.014
weak,0,197.5,0.337737,2.7325e-05,60.6712,182.014
weak,0,202.5,0.337737,2.38836e-05,60.6712,182.014
weak,0,207.5,0.337737,3.32943e-05,60.6712,182.014
weak,0,212.5,0.337737,2.24167e-05,60.6712,182.014
weak,0,217.5,0.337737,1.87461e-05,60.6712,182.014
weak,0,222.5,0.337737,7.82789e-06,60.6712,182.014
weak,0,227.5,0.337737,3.47605e-06,60.6712,182.014
weak,0,232.5,0.337737,3.66445e-06,60.6712,182.014
weak,0,237.5,0.337737,-1.40945e-05,60.6712,182.014
weak,0,242.5,0.337737,1.08862e-05,60.6712,182.014
weak,0,247.5,0.337737,3.2602e-05,60.6712,182.014
weak,0,252.5,0.337737,3.16896e-05,60.6712,182.014
weak,0,257.5,0.337737,9.46637e-06,60.6712,182.014
weak,0,262.5,0.337737,1.58585e-05,60.6712,182.014
weak,0,267.5,0.337737,5.57745e-05,60.6712,182.014
weak,0,272.5,0.337737,2.72431e-05,60.6712,182.014
weak,0,277.5,0.337737,3.12742e-05,60.6712,182.014
weak,0,282.5,0.337737,2.94584e-05,60.6712,182.014
weak,0,287.5,0.337737,2.18351e-05,60.6712,182.014
weak,0,292.5,0.337737,1.83438e-05,60.6712,182.014
weak,0,297.5,0.337737,3.40764e-05,60.6712,182.014
weak,0,2.5,1.00697,4.70323e-06,60.6712,182.014
weak,0,7.5,1.00697,2.23402e-07,60.6712,182.014
weak,0,12.5,1.00697,9.17719e-07,60.6712,182.014
weak,0,17.5,1.00697,-0.000136855,60.6712,182.014
weak,0,22.5,1.00697,-0.000228445,60.6712,182.014
weak,0,27.5,1.00697,0.0011132,60.6712,182.014
weak,0,32.5,1.00697,0.000828261,60.6712,182.014
weak,0,37.5,1.00697,0.00279618,60.6712,182.014
weak,0,42.5,1.00697,0.00510124,60.6712,182.014
weak,0,47.5,1.00697,0.00394709,60.6712,182.014
weak,0,52.5,1.00697,0.00358721,60.6712,182.014
weak,0,57.5,1.00697,0.00228778,60.6712,182.014
weak,0,62.5,1.00697,0.00171933,60.6712,182.014
weak,0,67.5,1.00697,0.000748993,60.6712,182.014
weak,0,72.5,1.00697,0.000224517,60.6712,182.014
weak,0,77.5,1.00697,0.000174767,60.6712,182.014
weak,0,82.5,1.00697,0.000367463,60.6712,182.014
weak,0,87.5,1.00697,0.000252146,60.6712,182.014
weak,0,92.5,1.00697,0.000284075,60.6712,182.014
weak,0,97.5,1.00697,0.000460718,60.6712,182.014
weak,0,102.5,1.00697,0.000617094,60.6712,182.014
weak,0,107.5,1.00697,0.000561867,60.6712,182.014
weak,0,112.5,1.00697,0.000308977,60.6712,182.014
weak,0,117.5,1.00697,3.76163e-05,60.6712,182.014
weak,0,122.5,1.00697,2.87138e-05,60.6712,182.014
weak,0,127.5,1.00697,0.000100662,60.6712,182.014
weak,0,132.5,1.00697,-1.05128e-07,60.6712,182.014
weak,0,137.5,1.00697,-4.19063e-05,60.6712,182.014
weak,0,142.5,1.00697,-7.7843e-05,60.6712,182.014
weak,0,147.5,1.00697,5.32605e-05,60.6712,182.014
weak,0,152.5,1.00697,-1.84958e-05,60.6712,182.014
weak,0,157.5,1.00697,-3.06636e-05,60.6712,182.014
weak,0,162.5,1.00697,-4.17866e-05,60.6712,182.014
weak,0,167.5,1.00697,-1.84231e-05,60.6712,182.014
weak,0,172.5,1.00697,-2.58042e-05,60.6712,182.014
weak,0,177.5,1.00697,-3.05953e-06,60.6712,182.014
weak,0,182.5,1.00697,7.0498e-06,60.6712,182.014
weak,0,187.5,1.00697,-2.3082e-05,60.6712,182.014
weak,0,192.5,1.00697,-5.4816e-06,60.6712,182.014
weak,0,197.5,1.00697,-2.55664e-05,60.6712,182.014
weak,0,202.5,1.00697,-4.41333e-05,60.6712,182.014
weak,0,207.5,1.00697,-9.75149e-06,60.6712,182.014
weak,0,212.5,1.00697,1.58758e-05,60.6712,182.014
weak,0,217.5,1.00697,-5.29775e-05,60.6712,182.014
weak,0,222.5,1.00697,-5.09747e-05,60.6712,182.014
weak,0,227.5,1.00697,-5.57085e-05,60.6712,182.014
weak,0,232.5,1.00697,-2.62664e-05,60.6712,182.014
weak,0,237.5,1.00697,-5.35117e-05,60.6712,182.014
weak,0,242.5,1.00697,-2.76642e-05,60.6712,182.014
weak,0,247.5,1.00697,6.16192e-05,60.6712,182.014
weak,0,252.5,1.00697,4.41708e-05,60.6712,182.014
weak,0,257.5,1.00697,-1.76386e-05,60.6712,182.014
weak,0,262.5,1.00697,3.55556e-06,60.6712,182.014
weak,0,267.5,1.00697,8.19478e-05,60.6712,182.014
weak,0,272.5,1.00697,-2.38902e-06,60.6712,182.014
weak,0,277.5,1.00697,1.20089e-05,60.6712,182.014
weak,0,282.5,1.00697,-3.25062e-06,60.6712,182.014
weak,0,287.5,1.00697,-4.79007e-06,60.6712,182.014
weak,0,292.5,1.00697,-2.20561e-05,60.6712,182.014
weak,0,297.5,1.00697,5.57657e-05,60.6712,182.014
weak,0,2.5,1.66839,5.45456e-06,60.6712,182.014
weak,0,7.5,1.66839,5.34419e-06,60.6712,182.014
weak,0,12.5,1.66839,6.07244e-06,60.6712,182.014
weak,0,17.5,1.66839,-7.02928e-06,60.6712,182.014
weak,0,22.5,1.66839,-0.000291944,60.6712,182.014
weak,0,27.5,1.66839,0.000711165,60.6712,182.014
weak,0,32.5,1.66839,0.000421935,60.6712,182.014
weak,0,37.5,1.66839,0.00242048,60.6712,182.014
weak,0,42.5,1.66839,0.00570423,60.6712,182.014
weak,0,47.5,1.66839,0.00649442,60.6712,182.014
weak,0,52.5,1.66839,0.00454285,60.6712,182.014
weak,0,57.5,1.66839,0.00299191,60.6712,182.014
weak,0,62.5,1.66839,0.00233243,60.6712,182.014
weak,0,67.5,1.66839,0.00120169,60.6712,182.014
weak,0,72.5,1.66839,0.00103564,60.6712,182.014
weak,0,77.5,1.66839,0.000535179,60.6712,182.014
weak,0,82.5,1.66839,0.000470421,60.6712,182.014
weak,0,87.5,1.66839,0.000263498,60.6712,182.014
weak,0,92.5,1.66839,0.00026812,60.6712,182.014
weak,0,97.5,1.66839,0.000631617,60.6712,182.014
weak,0,102.5,1.66839,0.000653481,60.6712,182.014
weak,0,107.5,1.66839,0.000770718,60.6712,182.014
weak,0,112.5,1.66839,0.000496991,60.6712,182.014
weak,0,117.5,1.66839,-4.41547e-05,60.6712,182.014
weak,0,122.5,1.66839,-3.5528e-05,60.6712,182.014
weak,0,127.5,1.66839,-1.95871e-05,60.6712,182.014
weak,0,132.5,1.66839,-0.000115663,60.6712,182.014
weak,0,137.5,1.66839,-5.23968e-05,60.6712,182.014
weak,0,142.5,1.66839,-3.99919e-05,60.6712,182.014
weak,0,147.5,1.66839,4.81507e-05,60.6712,182.014
weak,0,152.5,1.66839,4.99293e-05,60.6712,182.014
weak,0,157.5,1.66839,-3.19254e-05,60.6712,182.014
weak,0,162.5,1.66839,-4.01594e-05,60.6712,182.014
weak,0,167.5,1.66839,4.49464e-05,60.6712,182.014
weak,0,172.5,1.66839,-1.00312e-05,60.6712,182.014
weak,0,177.5,1.66839,2.31577e-05,60.6712,182.014
